,repo_name,full_name,owner_name,git_url,language,num_commits,num_stars,num_forks,created_at,updated_at
105,jackson-databind,FasterXML/jackson-databind,FasterXML,https://github.com/FasterXML/jackson-databind,Java,6032,2325,904,2011-12-23 07:17:41,2020-01-03 17:48:17
61,junit5,junit-team/junit5,junit-team,https://github.com/junit-team/junit5,Java,6030,3641,829,2015-01-11 19:06:10,2020-01-03 19:56:39
114,traccar,traccar/traccar,traccar,https://github.com/traccar/traccar,Java,5996,2202,1468,2012-04-16 08:33:49,2020-01-03 22:29:04
71,atmosphere,Atmosphere/atmosphere,Atmosphere,https://github.com/Atmosphere/atmosphere,Java,5892,3390,731,2010-06-30 14:26:23,2020-01-02 07:32:20
70,Conversations,siacs/Conversations,siacs,https://github.com/siacs/Conversations,Java,5881,3405,1110,2014-01-24 01:07:34,2020-01-02 18:09:03
99,AntennaPod,AntennaPod/AntennaPod,AntennaPod,https://github.com/AntennaPod/AntennaPod,Java,5864,2606,780,2012-07-31 10:25:08,2020-01-04 09:23:22
84,janusgraph,JanusGraph/janusgraph,JanusGraph,https://github.com/JanusGraph/janusgraph,Java,5860,3024,757,2016-12-26 13:26:29,2020-01-04 06:19:22
95,Mindustry,Anuken/Mindustry,Anuken,https://github.com/Anuken/Mindustry,Java,5806,2656,625,2017-04-30 01:24:29,2020-01-04 09:17:32
53,MyBookshelf,gedoor/MyBookshelf,gedoor,https://github.com/gedoor/MyBookshelf,Java,5739,4358,1185,2018-06-12 03:48:07,2020-01-04 06:56:27
80,ksql,confluentinc/ksql,confluentinc,https://github.com/confluentinc/ksql,Java,5678,3086,588,2016-09-27 21:30:15,2020-01-04 06:51:57
2,RxJava,ReactiveX/RxJava,ReactiveX,https://github.com/ReactiveX/RxJava,Java,5654,41561,6974,2013-01-08 20:11:48,2020-01-04 09:15:55
15,skywalking,apache/skywalking,apache,https://github.com/apache/skywalking,Java,5399,11942,3474,2015-11-07 03:30:36,2020-01-04 09:33:28
31,NewPipe,TeamNewPipe/NewPipe,TeamNewPipe,https://github.com/TeamNewPipe/NewPipe,Java,5340,7176,1090,2015-09-03 23:39:26,2020-01-04 08:57:53
17,redisson,redisson/redisson,redisson,https://github.com/redisson/redisson,Java,5320,11750,2917,2014-01-11 14:06:25,2020-01-04 08:13:35
79,jodd,oblac/jodd,oblac,https://github.com/oblac/jodd,Java,5256,3148,658,2012-09-07 20:26:48,2020-01-03 04:50:24
29,dropwizard,dropwizard/dropwizard,dropwizard,https://github.com/dropwizard/dropwizard,Java,5221,7508,3127,2011-01-19 19:52:29,2020-01-03 15:52:21
23,mockito,mockito/mockito,mockito,https://github.com/mockito/mockito,Java,5212,9923,1769,2012-10-13 20:27:12,2020-01-03 12:33:07
3,guava,google/guava,google,https://github.com/google/guava,Java,5169,35449,7930,2014-05-29 16:23:17,2020-01-04 09:19:44
76,byte-buddy,raphw/byte-buddy,raphw,https://github.com/raphw/byte-buddy,Java,5103,3221,413,2013-11-25 19:38:03,2020-01-04 07:08:07
